brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
44642.0,sold,159000.0,3.0,2.0,0.04,587298.0,Phoenix,Arizona,85050.0,1680.0,2022-05-02
10437.0,for_sale,360000.0,2.0,2.0,0.04,35057.0,Atlanta,Georgia,30312.0,1613.0,2020-02-19
12600.0,sold,470000.0,4.0,3.0,10454.0,1198117.0,Duluth,Georgia,30097.0,2496.0,2022-03-31
108347.0,sold,640000.0,3.0,2.0,0.19,549047.0,Lynnwood,Washington,98037.0,1346.0,2022-03-08
15307.0,sold,669500.0,3.0,3.0,0.21,329700.0,Toms River Township,New Jersey,8755.0,2034.0,2022-02-17
14831.0,sold,135000.0,2.0,2.0,0.6,180067.0,Tipton,Oklahoma,73570.0,1504.0,2022-01-13
133.0,sold,199900.0,3.0,2.0,1.5,567888.0,Birmingham,Alabama,35214.0,1641.0,2022-04-25
10613.0,sold,162000.0,3.0,2.0,0.75,1717986.0,Belpre,Ohio,45714.0,1714.0,2022-03-10
53016.0,for_sale,330100.0,3.0,2.0,0.13,1970138.0,Soddy Daisy,Tennessee,37379.0,1700.0,
108211.0,sold,974888.0,3.0,3.0,0.23,1552169.0,Kenmore,Washington,98028.0,2100.0,2022-01-24
15373.0,for_sale,850000.0,4.0,3.0,0.2,406636.0,La Mirada,California,90638.0,2071.0,2022-03-29
54293.0,ready_to_build,936625.0,4.0,,,1233001.0,Baldwin,Maryland,21013.0,3200.0,
39472.0,for_sale,401848.0,2.0,2.0,0.7,251889.0,Knoxville,Tennessee,37934.0,1411.0,
57610.0,sold,645800.0,4.0,3.0,,1546503.0,Camas,Washington,98607.0,2304.0,2022-03-03
45044.0,for_sale,115000.0,1.0,1.0,5.3,1661278.0,Houston,Texas,77030.0,696.0,2005-06-14
71243.0,sold,490000.0,4.0,5.0,0.29,1124584.0,Houston,Texas,77059.0,3520.0,2022-02-22
15397.0,for_sale,339500.0,3.0,3.0,1.49,1601662.0,Carlsbad,New Mexico,88220.0,1792.0,
16829.0,for_sale,475000.0,3.0,3.0,,1323410.0,Davie,Florida,33314.0,1658.0,2019-12-05
55901.0,for_sale,399999.0,3.0,2.0,,968546.0,Bronx,New York,10463.0,1100.0,
23096.0,for_sale,189000.0,3.0,3.0,3.7,244220.0,Morrisonville,New York,12962.0,1848.0,
